algorithm,seed,episode,cumulative_reward,cumulative_profit,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,decision_windows
epsilon_greedy,0,0,-886.1776885316073,3795.7393663679936,76.71299716802845,1,29,0.0004695841620782316,119.24475746725604,12
ucb1,0,0,-886.1776885316073,3795.7393663679936,76.71299716802845,1,29,0.0004695841620782316,119.24475746725604,12
softmax,0,0,-886.1776885316073,3795.7393663679936,76.71299716802845,1,29,0.0004695841620782316,119.24475746725604,12
pac_successive_elimination,0,0,-584.7888562469607,4718.205581269492,92.88818246655615,1,30,0.0003501490421316374,148.73530135201835,12
epsilon_greedy,0,1,-928.5634669426921,3226.0538298645356,74.8328842484042,1,25,0.0004049515934620661,115.77033179346006,12
ucb1,0,1,-929.2699076293491,3378.1044633522597,64.70802322165552,1,25,0.0004049515934620661,100.32390987286836,12
softmax,0,1,-929.2699076293491,3378.1044633522597,64.70802322165552,1,25,0.0004049515934620661,100.32390987286836,12
pac_successive_elimination,0,1,31.13247353646983,4939.071982707884,135.57360315714942,0,,0.00043161192346447843,208.79569259277622,12
epsilon_greedy,0,2,-929.2719493091715,3380.883653548025,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,12
ucb1,0,2,-929.2721112878232,3380.314743844363,64.70802322165552,1,25,0.0004049515934620661,100.17362864350152,12
softmax,0,2,-929.2721391442376,3380.626203434375,64.70802322165552,1,25,0.0004049515934620661,100.1550548378746,12
pac_successive_elimination,0,2,40.49262313176412,7215.465014486715,195.42318102032664,0,,0.0006796465213188615,296.46081144311785,12
epsilon_greedy,1,0,-230.7321660677165,5036.270346493106,112.19047291355115,1,41,0.00046701707712585585,175.36214422311363,12
ucb1,1,0,-230.7321660677165,5036.270346493106,112.19047291355115,1,41,0.00046701707712585585,175.36214422311363,12
softmax,1,0,-230.73242490387528,5035.919335144108,112.19047291355115,1,41,0.00046701707712585585,175.38040203142498,12
pac_successive_elimination,1,0,-584.7888562469607,4718.205581269492,92.88818246655615,1,30,0.0003501490421316374,148.73530135201835,12
epsilon_greedy,1,1,31.387279736942798,5969.594386876879,128.0561653727147,0,,0.00040362186721671755,197.80215363496197,12
ucb1,1,1,-928.8383390344203,3284.4535900009737,70.88136440920798,1,25,0.0004049515934620661,109.80622363204303,12
softmax,1,1,31.384235984728097,5974.95511150311,128.0561653727147,0,,0.00040362186721671755,197.45954458596654,12
pac_successive_elimination,1,1,31.13247353646983,4939.071982707884,135.57360315714942,0,,0.00043161192346447843,208.79569259277622,12
epsilon_greedy,1,2,31.384235984728097,5974.95511150311,128.0561653727147,0,,0.00040362186721671755,197.45954458596654,12
ucb1,1,2,-929.270673598106,3379.1471974095043,64.70802322165552,1,25,0.0004049515934620661,100.25553129535281,12
softmax,1,2,33.638772217980936,4345.686101047712,175.09340638544796,0,,0.0003431398055429563,279.3457874687768,12
pac_successive_elimination,1,2,40.49262313176412,7215.465014486715,195.42318102032664,0,,0.0006796465213188615,296.46081144311785,12
